Urchin ID,Size(mm),Wet weight(g),Tank #,SetTemp,Temperature(C),State(Barren/Kelp),Trial #,Kelp start weight,Kelp end weight,Time in,Time out,Date in,Date out,Time series
B1,38.5,20.497,5A,12,12.33296,B,1,7.2983,6.4163,11:30,11:30,8/24/22,8/25/22,1
B2,41,21.498,1B,15,15.34508,B,1,7.1483,4.8527,11:35,11:33,8/24/22,8/25/22,1
B3,33.5,12.653,6A,18,18.05304,B,1,4.933,4.9588,11:36,11:36,8/24/22,8/25/22,1
B4,39,22.725,10B,21,19.88228,B,1,6.9342,5.9787,11:40,11:38,8/24/22,8/25/22,1
B5,35.5,15.892,9B,12,14.6301389,B,1,6.9033,6.5606,11:42,11:39,8/24/22,8/25/22,1
B6,41.5,23.673,3A,15,15.54536,B,1,4.7368,2.2871,11:45,11:41,8/24/22,8/25/22,1
B7,42.5,30.44,2B,18,17.9711,B,1,6.0802,5.3285,11:46,11:44,8/24/22,8/25/22,1
B8,35.5,17.091,8A,21,19.97748,B,1,7.354,6.1949,11:50,11:47,8/24/22,8/25/22,1
B9,35.5,16.966,7B,12,14.6048243,B,1,5.0269,3.8086,11:51,11:50,8/24/22,8/25/22,1
B10,35,18.796,11A,15,17.6872688,B,1,5.1925,4.2321,11:55,11:51,8/24/22,8/25/22,1
B11,35,16.007,4A,18,18.6083125,B,1,5.6637,3.7202,11:56,11:54,8/24/22,8/25/22,1
B12,40.5,22.061,12B,21,20.5492198,B,1,6.4409,5.518,11:57,11:55,8/24/22,8/25/22,1
K1,41.5,25.753,5B,12,12.7527,K,1,5.3873,4.1215,12:01,11:57,8/24/22,8/25/22,1
K2,33,15.421,1A,15,15.38114,K,1,8.3345,7.327,12:02,11:59,8/24/22,8/25/22,1
K3,40.5,24.945,6B,18,18.12162,K,1,5.4415,2.9948,12:03,12:01,8/24/22,8/25/22,1
K4,43.5,31.101,10A,21,19.83236,K,1,5.3225,3.4547,12:07,12:03,8/24/22,8/25/22,1
K5,34.5,16.249,9A,12,12.60462,K,1,7.2115,5.6785,12:08,12:06,8/24/22,8/25/22,1
K6,49.5,47.787,3B,15,15.58538,K,1,5.0814,3.3359,12:09,12:07,8/24/22,8/25/22,1
K7,37.5,20.747,2A,18,18.15558,K,1,7.6316,4.1136,12:14,12:11,8/24/22,8/25/22,1
K8,42,24.989,8B,21,20.2629091,K,1,6.9171,6.9104,12:15,12:13,8/24/22,8/25/22,1
K9,37.5,19.169,7A,12,19.2180769,K,1,5.9919,5.9337,12:16,12:15,8/24/22,8/25/22,1
K10,35.5,22.322,11B,15,15.52538,K,1,7.1572,6.1163,12:20,12:17,8/24/22,8/25/22,1
K11,38,22.65,4B,18,19.0217128,K,1,7.1011,5.0521,12:21,12:20,8/24/22,8/25/22,1
K12,43,30.531,12A,21,20.4827912,K,1,7.1211,7.0815,12:22,12:21,8/24/22,8/25/22,1
B13,34.5,17.701,5A,12,12.02967,B,2,3.3714,1.3804,12:26,12:56,8/27/22,8/28/22,1
B14,39.5,23.621,1B,15,15.29277,B,2,4.3207,2.0984,12:27,12:58,8/27/22,8/28/22,1
B15,35.5,17.624,6A,18,18.09932,B,2,3.687,2.5533,12:28,12:59,8/27/22,8/28/22,1
B16,32.5,14.49,10B,21,20.19517,B,2,3.7894,3.6636,12:35,1:02,8/27/22,8/28/22,1
B17,35.5,20.453,9B,12,12.0341613,B,2,4.6138,2.3823,12:36,1:10,8/27/22,8/28/22,1
B18,36,17.637,3A,15,15.57348,B,2,5.1582,2.8967,12:37,1:22,8/27/22,8/28/22,1
B19,39,23.488,2B,18,18.23896,B,2,3.9206,2.1109,12:39,1:26,8/27/22,8/28/22,1
